species,transition,lambda,elambda,ep,ip
SiVI,2P1/2-2P3/2,+1.963410,+.000100,166.77,205.05
SiVII,3P1-3P2,+2.483340,+.000100,205.05,246.52
SiIX,3P2-3P1,+2.584230,+.000230,303.17,351.10
AlV,2P1/2-2P3/2,+2.905190,+.000370,120.00,153.83
CoII,a5F5-a3F4,+2.984600,+.000100,+7.86,+17.08
MgVIII,2P3/2-2P1/2,+3.027950,+.000250,224.95,265.96
NiI,a1D2-a3D3,+3.120000,+.000100,+0.00,+7.64
KVII,2P3/2-2P1/2,+3.190530,+.000150,+99.40,117.56
CaIV,2P1/2-2P3/2,+3.206710,+.000150,+50.91,+67.27
AlVI,3P1-3P2,+3.659710,+.000620,153.83,190.48
AlVIII,3P2-3P1,+3.690000,+.014000,241.44,284.60
SiIX,3P1-3P0,+3.935700,+.000400,303.17,351.10
NiI,a1D2-a3D2,+3.952400,+.000100,+0.00,+7.64
FeII,a4F5/2-a6D7/2,+4.076319,+.000004,+7.90,+16.19
FeII,a4F3/2-a6D5/2,+4.081906,+.000004,+7.90,+16.19
CaVII,3P2-3P1,+4.085800,+.001200,108.78,127.20
FeII,a4F7/2-a6D9/2,+4.114990,+.000005,+7.90,+16.19
CaV,3P1-3P2,+4.159370,+.000620,+67.27,+84.50
FeII,a4F3/2-a6D3/2,+4.434839,+.000007,+7.90,+16.19
MgIV,2P1/2-2P3/2,+4.486680,+.000300,+80.14,109.24
ArVI,2P3/2-2P1/2,+4.529520,+.000310,+75.02,+91.01
FeII,a4F5/2-a6D5/2,+4.607664,+.000005,+7.90,+16.19
KIII,2P1/2-2P3/2,+4.618020,+.000470,+31.63,+45.80
FeII,a4F3/2-a6D1/2,+4.671945,+.000005,+7.90,+16.19
NaVII,2P3/2-2P1/2,+4.684720,+.000330,172.15,208.44
FeII,a4F7/2-a6D7/2,+4.889137,+.000005,+7.90,+16.19
FeII,a4F5/2-a6D3/2,+5.062350,+.000010,+7.90,+16.19
FeII,a4F9/2-a6D9/2,+5.340169,+.000009,+7.90,+16.19
MgVII,3P2-3P1,+5.503200,+.001200,186.51,224.95
KVI,3P2-3P1,+5.575000,+.004000,+82.66,+99.40
MgV,3P1-3P2,+5.609850,+.000630,109.24,141.27
FeII,a4F7/2-a6D5/2,+5.673905,+.000008,+7.90,+16.19
AlVIII,3P1-3P0,+5.850000,+.040000,241.44,284.60
NiI,a1D2-a3D1,+5.893300,+.000100,+0.00,+7.64
KIV,3P1-3P2,+5.982000,+.001200,+45.80,+60.91
CaVII,3P1-3P0,+6.154000,+.008000,108.78,127.20
SiVII,3P0-3P1,+6.492200,+.001100,205.05,246.52
NiII,2D3/2-2D5/2,+6.636000,+.000300,+7.64,+18.17
ClV,2P3/2-2P1/2,+6.706670,+.000620,+53.46,+67.82
FeII,a4F9/2-a6D7/2,+6.721283,+.000011,+7.90,+16.19
ArII,2P1/2-2P3/2,+6.985274,+.000003,+15.76,+27.63
NaIII,2P1/2-2P3/2,+7.317700,+.001200,+47.29,+71.62
NiI,a3F3-a3F4,+7.506700,+.000200,+0.00,+7.64
NeVI,2P3/2-2P1/2,+7.652400,+.001200,126.21,157.93
FeVII,3F4-3F3,+7.814500,+.001200,+99.10,124.98
ArV,3P2-3P1,+7.901600,+.000200,+59.81,+75.02
NaVI,3P2-3P1,+8.610590,+.000880,138.39,172.15
KVI,3P1-3P0,+8.829900,+.000200,+82.66,+99.40
ArIII,3P1-3P2,+8.991380,+.000120,+27.63,+40.74
MgVII,3P1-3P0,+9.009000,+.000400,186.51,224.95
NaIV,3P1-3P2,+9.041000,+.001000,+71.62,+98.91
AlVI,3P0-3P1,+9.116000,+.008000,153.83,190.48
FeVII,3F3-3F2,+9.526700,+.001100,+99.10,124.98
SIV,2P3/2-2P1/2,+10.510500,+.000100,+34.79,+47.22
CoII,a3F3-a3F4,+10.521000,+.001000,+7.86,+17.08
NiII,4F7/2-4F9/2,+10.682200,+.000800,+7.64,+18.17
NiI,a3F2-a3F3,+11.307500,+.000200,+0.00,+7.64
ClI,2P1/2-2P3/2,+11.333347,+.000015,+0.00,+12.97
CaV,3P0-3P1,+11.482000,+.019000,+67.27,+84.50
ClIV,3P2-3P1,+11.761900,+.001100,+39.61,+53.46
CoIII,a4F7/2-a4F9/2,+11.890000,+.010000,+17.08,+33.50
NiI,a3D1-a3D2,+12.001000,+.000300,+0.00,+7.64
CoI,a4F7/2-a4F9/2,+12.255000,+.002000,+0.00,+7.86
NiII,4F5/2-4F7/2,+12.728800,+.001200,+7.64,+18.17
NeII,2P1/2-2P3/2,+12.813550,+.000020,+21.56,+40.96
ArV,3P1-3P0,+13.102200,+.000200,+59.81,+75.02
FV,2P3/2-2P1/2,+13.432000,+.009000,+87.14,114.24
MgV,3P0-3P1,+13.521300,+.000200,109.24,141.27
NeV,3P2-3P1,+14.321700,+.000200,+97.12,126.21
ClII,3P1-3P2,+14.367800,+.000800,+12.97,+23.81
NaVI,3P1-3P0,+14.396400,+.002100,138.39,172.15
CoII,a5F4-a5F5,+14.740000,+.002000,+7.86,+17.08
NiI,a3D2-a3D3,+14.814200,+.000300,+0.00,+7.64
CoI,b4F7/2-b4F9/2,+15.155000,+.002000,+0.00,+7.86
KIV,3P0-3P1,+15.390000,+.030000,+45.80,+60.91
CoII,a3F2-a3F3,+15.460000,+.002000,+7.86,+17.08
NeIII,3P1-3P2,+15.555100,+.000300,+40.96,+63.45
CoIII,a4F5/2-a4F7/2,+16.390000,+.030000,+17.08,+33.50
CoI,a4F5/2-a4F7/2,+16.925000,+.003000,+0.00,+7.86
PIII,2P3/2-2P1/2,+17.885000,+.005000,+19.77,+30.20
FeII,a4F7/2-a4F9/2,+17.935950,+.000090,+7.90,+16.19
NiII,4F3/2-4F5/2,+18.240500,+.002000,+7.64,+18.17
CoI,b4F5/2-b4F7/2,+18.264000,+.003000,+0.00,+7.86
SIII,3P2-3P1,+18.713000,+.000200,+23.34,+34.79
CoII,a5F3-a5F4,+18.804000,+.004000,+7.86,+17.08
ClIV,3P1-3P0,+20.310700,+.002100,+39.61,+53.46
NaIV,3P0-3P1,+21.290000,+.060000,+71.62,+98.91
ArIII,3P0-3P1,+21.830200,+.000300,+27.63,+40.74
FeIII,5D3-5D4,+22.925000,+.002000,+16.19,+30.65
FeI,a5D3-a5D4,+24.042330,+.000060,+0.00,+7.90
CoIII,a4F3/2-a4F5/2,+24.070000,+.060000,+17.08,+33.50
NeV,3P1-3P0,+24.317500,+.000300,+97.12,126.21
FeII,a4F5/2-a4F7/2,+24.519250,+.000160,+7.90,+16.19
FI,2P1/2-2P3/2,+24.747500,+.001500,+0.00,+17.42
CoI,a4F3/2-a4F5/2,+24.845000,+.006000,+0.00,+7.86
SI,3P1-3P2,+25.249000,+.000300,+0.00,+10.36
CoII,a5F2-a5F3,+25.681000,+.007000,+7.86,+17.08
FIV,3P2-3P1,+25.830000,+.040000,+62.71,+87.14
OIV,2P3/2-2P1/2,+25.890300,+.000300,+54.93,+77.41
CoI,b4F3/2-b4F5/2,+25.930000,+.007000,+0.00,+7.86
FeII,a6D7/2-a6D9/2,+25.988290,+.000180,+7.90,+16.19
FII,3P1-3P2,+29.330000,+.040000,+17.42,+34.97
PII,3P2-3P1,+32.870000,+.030000,+10.48,+19.77
FeIII,5D2-5D3,+33.038400,+.006600,+16.19,+30.65
ClII,3P0-3P1,+33.281000,+.008000,+12.97,+23.81
SIII,3P1-3P0,+33.481000,+.000300,+23.34,+34.79
FeI,a5D2-a5D3,+34.713300,+.000120,+0.00,+7.90
SiII,2P3/2-2P1/2,+34.815200,+.000500,+8.15,+16.35
FeII,a6D5/2-a6D7/2,+35.348650,+.000260,+7.90,+16.19
FeII,a4F3/2-a4F5/2,+35.777400,+.000370,+7.90,+16.19
NeIII,3P0-3P1,+36.013500,+.000300,+40.96,+63.45
CoII,a5F1-a5F2,+39.274000,+.015000,+7.86,+17.08
FIV,3P1-3P0,+44.070000,+.210000,+62.71,+87.14
FeII,a6D3/2-a6D5/2,+51.300440,+.000910,+7.90,+16.19
FeIII,5D1-5D2,+51.680000,+.200000,+16.19,+30.65
OIII,3P2-3P1,+51.814500,+.000500,+35.12,+54.93
FeI,a5D1-a5D2,+54.310930,+.000420,+0.00,+7.90
SI,3P0-3P1,+56.311000,+.010000,+0.00,+10.36
NIII,2P3/2-2P1/2,+57.317000,+.002000,+29.60,+47.45
PII,3P1-3P0,+60.640000,+.070000,+10.48,+19.77
OI,3P1-3P2,+63.183705,+.000002,+0.00,+13.62
FII,3P0-3P1,+67.200000,+.300000,+17.42,+34.97
SiI,3P2-3P1,+68.473000,+.004000,+0.00,+8.15
FeII,a6D1/2-a6D3/2,+87.384400,+.002700,+7.90,+16.19
OIII,3P1-3P0,+88.356000,+.002300,+35.12,+54.93
AlI,2P3/2-2P1/2,+89.237000,+.008000,+0.00,+5.99
FeIII,5D0-5D1,105.370000,+.600000,+16.19,+30.65
FeI,a5D0-a5D1,111.182800,+.001800,+0.00,+7.90
NII,3P2-3P1,121.897570,+.000020,+14.53,+29.60
SiI,3P1-3P0,129.681730,+.000030,+0.00,+8.15
OI,3P0-3P1,145.525439,+.000007,+0.00,+13.62
CII,2P3/2-2P1/2,157.740900,+.000100,+11.26,+24.38
NII,3P1-3P0,205.178230,+.000020,+14.53,+29.60
