Species,Transition,Lambda(mu),E_l(cm-1),Reference
H2,(1;0)Q(1),2.4065914,118.49,Braggetal.1982
H2,(2;1)Q(1),2.5510,118.49,Black&vanDishoeck1987
H2,(2;1)Q(3),2.5698,705.52,Black&vanDishoeck1987
H2,(2;1)Q(5),2.6040,1740.24,Black&vanDishoeck1987
H2,(1;0)O(2),2.6269,354.37,Black&vanDishoeck1987
H2,(1;0)O(3),2.8025,705.52,Black&vanDishoeck1987
H2,(1;0)O(5),3.2350,1740.24,Black&vanDishoeck1987
H2,(0;0)S(13),3.8468,9580.75,Jenningsetal.1985
H2,(0;0)S(11),4.1813,7148.71,Jenningsetal.1985
H2,(0;0)S(10),4.4099,6039.15,Jenningsetal.1985
H2,(0;0)S(9),4.69461,5005.73,Jenningsetal.1987
H2,(0;0)S(8),5.05303,4053.51,Jenningsetal.1987
H2,(0;0)S(7),5.51116,3188.05,Jenningsetal.1987
H2,(0;0)S(6),6.10856,2415.08,Jenningsetal.1987
H2,(0;0)S(5),6.90952,1740.24,Jenningsetal.1987
H2,(0;0)S(4),8.02505,1168.81,Jenningsetal.1987
H2,(0;0)S(3),9.66491,705.52,Jenningsetal.1987
HD,(0;0)R(10),11.57346,4627.07,Ulivietal.1991
H2,(0;0)S(2),12.27861,354.37,Jenningsetal.1987
HD,(0;0)R(9),12.47181,3825.27,Ulivietal.1991
HD,(0;0)R(8),13.59265,3089.58,Ulivietal.1991
HD,(0;0)R(7),15.25104,2423.88,Ulivietal.1991
HD,(0;0)R(6),16.89381,1831.95,Ulivietal.1991
H2,(0;0)S(1),17.03483,118.49,Jenningsetal.1987
p-H2O,5_51-4_04,19.2300,222.05,HITRAN
HD,(0;0)R(5),19.43100,1317.31,Ulivietal.1991
o-H2O,5_50-4_23,22.6391,300.36,HITRAN
HD,(0;0)R(4),23.03376,883.16,Ulivietal.1991
OH1/2-3/2,9/2-7/2,24.614,201.93,Offer&vanDishoeck1992
OH1/2-3/2,9/2-7/2,24.642,202.38,Offer&vanDishoeck1992
o-H2O,5_41-4_14,25.9402,224.84,HITRAN
H2,(0;0)S(0),28.21883,0.00,Jenningsetal.1987
HD,(0;0)R(3),28.50197,532.31,Ulivietal.1991
p-H2O,4_40-3_13,28.9138,142.28,HITRAN
OH1/2-3/2,7/2-5/2,28.939,83.72,Offer&vanDishoeck1992
OH1/2-3/2,7/2-5/2,28.940,83.92,Offer&vanDishoeck1992
o-H2O,7_25-6_16,29.8363,447.25,HITRAN
p-H2O,5_42-4_13,29.8849,275.50,HITRAN
o-H2O,4_41-3_12,31.7715,173.37,HITRAN
OH1/2-3/2,5/2--3/2+3-2,34.6034,0.06,HITRAN
OH1/2-3/2,5/2--3/2+2-1,34.6034,0.06,HITRAN
OH1/2-3/2,5/2+-3/2-3-2,34.6294,0.00,HITRAN
OH1/2-3/2,5/2+-3/2-2-1,34.6293,0.00,HITRAN
p-H2O,5_33-4_04,35.4710,222.05,HITRAN
HD,(0;0)R(2),37.70155,267.07,Ulivietal.1991
o-H2O,4_41-4_14,37.9839,224.84,HITRAN
OH1/2-3/2,9/2--9/2+5-5,39.5139,355.12,HITRAN
OH1/2-3/2,9/2--9/2+4-4,39.5144,355.12,HITRAN
OH1/2-3/2,9/2+-9/2-5-5,39.6378,355.92,HITRAN
OH1/2-3/2,9/2+-9/2-4-4,39.6380,355.92,HITRAN
o-H2O,6_43-5_32,40.3367,508.81,HITRAN
o-H2O,4_32-3_03,40.6904,136.76,HITRAN
OH1/2-3/2,7/2+-7/2-4-4,43.9497,201.93,HITRAN
OH1/2-3/2,7/2+-7/2-3-3,43.9503,201.93,HITRAN
OH1/2-3/2,7/2--7/2+4-4,44.0723,202.38,HITRAN
OH1/2-3/2,7/2--7/2+3-3,44.0724,202.38,HITRAN
o-H2O,5_23-4_14,45.1112,224.84,HITRAN
p-H2O,3_31-2_02,46.4835,70.09,HITRAN
p-H2O,4_40-4_13,47.0285,275.50,HITRAN
o-H2O,5_32_4_23,47.9723,300.36,HITRAN
OH1/2-3/2,5/2--5/2+3-3,48.7040,83.72,HITRAN
OH1/2-3/2,5/2--5/2+2-2,48.7044,83.72,HITRAN
OH1/2-3/2,5/2+-5/2-3-3,48.8168,83.72,HITRAN
OH1/2-3/2,5/2+-5/2-2-2,48.8168,83.72,HITRAN
p-H2O,4_40-3_31,49.2808,285.22,HITRAN
o-H2O,4_41-3_30,49.3357,285.42,HITRAN
OH3/2-3/2,11/2+-9/2-6-5,52.9339,355.92,HITRAN
OH3/2-3/2,11/2+-9/2-5-4,52.9338,355.92,HITRAN
OH3/2-3/2,11/2--9/2+6-5,53.0572,355.12,HITRAN
OH3/2-3/2,11/2--9/2+5-4,53.0571,355.12,HITRAN
OH1/2-3/2,3/2--3/2+2-2,53.3513,0.05,HITRAN
OH1/2-3/2,3/2--3/2+1-1,53.3509,0.05,HITRAN
OH1/2-3/2,3/2+-3/2-2-2,53.2614,0.05,HITRAN
OH1/2-3/2,3/2+-3/2-1-1,53.2616,0.05,HITRAN
OH1/2-1/2,9/2--7/2+5-4,55.9497,429.47,HITRAN
OH1/2-1/2,9/2--7/2+4-3,55.9497,429.47,HITRAN
OH1/2-1/2,9/2+-7/2-5-4,55.8908,429.47,HITRAN
OH1/2-1/2,9/2+-7/2-4-3,55.8909,429.47,HITRAN
HD,(0;0)R(1),56.22975,89.23,Ulivietal.1991
p-H2O,4_31-3_22,56.3242,206.30,HITRAN
p-H2O,4_22-3_13,57.6361,142.28,HITRAN
o-H2O,4_32-3_21,58.6982,212.16,HITRAN
p-H2O,4_31-4_04,61.8084,222.05,HITRAN
p-H2O,8_08-7_17,63.4570,586.48,HITRAN
OH3/2-3/2,9/2--7/2+5-4,65.1315,202.38,HITRAN
OH3/2-3/2,9/2--7/2+4-3,65.1314,202.38,HITRAN
OH3/2-3/2,9/2+-7/2-5-4,65.2788,201.93,HITRAN
OH3/2-3/2,9/2+-7/2-4-3,65.2786,201.93,HITRAN
o-H2O,3_30-2_21,66.4372,134.90,HITRAN
p-H2O,3_31-2_20,67.0886,136.16,HITRAN
o-H2O,3_30-3_03,67.2689,136.76,HITRAN
CO,38-37,69.0744058,2690.99,Varberg&Evanson1992
CO,37-36,70.9072390,2549.96,Varberg&Evanson1992
p-H2O,5_24-4_13,71.0662,275.50,HITRAN
OH1/2-1/2,7/2--5/2+4-3,71.170752,288.77,Varberg&Evanson1993
OH1/2-1/2,7/2--5/2+3-2,71.170850,288.77,Varberg&Evanson1993
OH1/2-1/2,7/2+-5/2-4-3,71.215827,289.05,Varberg&Evanson1993
OH1/2-1/2,7/2+-5/2-3-2,71.215869,289.05,Varberg&Evanson1993
o-H2O,7_07-6_16,71.9460,447.25,HITRAN
CO,36-35,72.8428544,2412.68,Varberg&Evanson1992
CO,35-34,74.8900599,2279.15,Varberg&Evanson1992
o-H2O,3_21-2_12,75.3804,79.50,HITRAN
CO,34-33,77.0586994,2149.38,Varberg&Evanson1992
o-H2O,4_23-3_12,78.7414,173.37,HITRAN
OH1/2-3/2,1/2--3/2+1-2,79.117296,0.00,Varberg&Evanson1993
OH1/2-3/2,1/2--3/2+0-1,79.118034,0.00,Varberg&Evanson1993
OH1/2-3/2,1/2+-3/2-1-2,79.181726,0.06,Varberg&Evanson1993
OH1/2-3/2,1/2+-3/2-0-1,79.180928,0.06,Varberg&Evanson1993
CO,33-32,79.3598104,2023.37,Varberg&Evanson1992
CO,32-31,81.8058100,1901.13,Varberg&Evanson1992
o-H2O,6_16-5_05,82.0304,325.35,HITRAN
p-H2O,6_06-5_15,83.2831,326.63,HITRAN
CO,31-30,84.4107173,1782.66,Varberg&Evanson1992
OH3/2-3/2,7/2+-5/2-4-3,84.420391,83.93,Varberg&Evanson1993
OH3/2-3/2,7/2+-5/2-3-2,84.419938,83.93,Varberg&Evanson1993
OH3/2-3/2,7/2--5/2+4-3,84.596825,83.72,Varberg&Evanson1993
OH3/2-3/2,7/2--5/2+3-2,84.596312,83.72,Varberg&Evanson1993
CO,30-29,87.1904213,1667.97,Varberg&Evanson1992
p-H2O,3_22-2_11,89.9878,95.18,HITRAN
CO,29-28,90.1630019,1557.06,Varberg&Evanson1992
CO,28-27,93.3491227,1449.94,Varberg&Evanson1992
p-H2O,5_15-4_04,95.6263,222.05,HITRAN
OH3/2-1/2,3/2+-5/2-2-3,96.312205,83.92,Varberg&Evanson1993
OH3/2-1/2,3/2+-5/2-1-2,96.313812,83.92,Varberg&Evanson1993
OH3/2-1/2,3/2--5/2+2-3,96.367469,83.72,Varberg&Evanson1993
OH3/2-1/2,3/2--5/2+1-2,96.367404,83.72,Varberg&Evanson1993
CO,27-26,96.7725080,1346.60,Varberg&Evanson1992
OH1/2-1/2,5/2--3/2+3-2,98.724877,187.75,Varberg&Evanson1993
OH1/2-1/2,5/2--3/2+2-1,98.724920,187.75,Varberg&Evanson1993
OH1/2-1/2,5/2+-3/2-3-2,98.736890,187.49,Varberg&Evanson1993
OH1/2-1/2,5/2+-3/2-2-1,98.737085,187.49,Varberg&Evanson1993
o-H2O,5_05-4_14,99.4924,224.84,HITRAN
CO,26-25,100.4605323,1247.06,Varberg&Evanson1992
o-H2O,5_14-4_23,100.9127,300.36,HITRAN
p-H2O,2_20-1_11,100.9828,37.14,HITRAN
p-H218O,2_20-1_11,102.004,36.75,HITRAN
CO,25-24,104.4449505,1151.32,Varberg&Evanson1992
o-H2O,2_21-1_10,108.0730,42.37,HITRAN
CO,24-23,108.7628094,1059.37,Varberg&Evanson1992
o-H218O,2_21-1_10,109.347,42.02,HITRAN
HD,(0;0)R(0)112.07251,0.00,Ulivietal.1991
CO,23-22,113.4575993,971.23,Varberg&Evanson1992
o-H2O,4_14-3_03,113.5366,136.76,HITRAN
OH1/2-3/2,5/2+-7/2-3-4,115.1530,201.93,HITRAN
OH1/2-3/2,5/2+-7/2-2-3,115.1541,201.93,HITRAN
OH1/2-3/2,5/2--7/2+3-4,115.3858,202.38,HITRAN
OH1/2-3/2,5/2--7/2+2-3,115.3890,202.38,HITRAN
o-H2O,7_34-6_43,116.7836,85.63,HITRAN
CO,22-21,118.5807176,886.90,Varberg&Evanson1992
OH3/2-3/2,5/2--3/2+3-2,119.234182,0.06,Varberg&Evanson1993
OH3/2-3/2,5/2--3/2+2-1,119.232438,0.06,Varberg&Evanson1993
OH3/2-3/2,5/2+-3/2-3-2,119.441669,0.00,Varberg&Evanson1993
OH3/2-3/2,5/2+-3/2-2-1,119.439806,0.00,Varberg&Evanson1993
18OH3/2-3/2,5/2+-3/2-3-2,119.9659,0.06,Combenetal.1986
18OH3/2-3/2,5/2+-3/2-2-1,119.9641,0.06,Combenetal.1986
18OH3/2-3/2,5/2--3/2+3-2,120.1726,0.00,Combenetal.1986
18OH3/2-3/2,5/2--3/2+2-1,120.1707,0.00,Combenetal.1986
o-H2O,4_32-4_23,121.7191,300.36,HITRAN
CO,21-20,124.1933521,806.38,Varberg&Evanson1992
p-H2O,4_04-3_13,125.3534,142.28,HITRAN
p-H2O,3_31-3_22,126.7126,206.30,HITRAN
CO,20-19,130.3689279,729.68,Varberg&Evanson1992
o-H2O,4_23-4_14,132.4070,224.84,HITRAN
OH1/2-3/2,7/2--9/2+4-5,134.8449,355.12,HITRAN
OH1/2-3/2,7/2--9/2+3-4,134.8476,355.12,HITRAN
OH1/2-3/2,7/2+-9/2-4-5,134.9642,355.91,HITRAN
OH1/2-3/2,7/2+-9/2-3-4,134.9696,355.91,HITRAN
o-H2O,5_14-5_05,134.9346,325.35,HITRAN
o-H2O,3_30-3_21,136.4944,212.16,HITRAN
CO,19-18,137.1963285,656.79,Varberg&Evanson1992
p-H2O,3_13-2_02,138.5272,70.09,HITRAN
p-H2O,4_13-3_22,144.5181,206.30,HITRAN
CO,18-17,144.7841891,587.72,Varberg&Evanson1992
CO,17-16,153.2667064,522.48,Varberg&Evanson1992
p-H2O,3_22-3_13,156.1930,142.28,HITRAN
p-H2O,3_31-4_04,158.3090,222.05,HITRAN
CO,16-15,162.8116263,461.05,Varberg&Evanson1992
OH1/2-1/2,3/2+-1/2-2-1,163.124275,126.45,Varberg&Evanson1993
OH1/2-1/2,3/2+-1/2-1-0,163.122481,126.45,Varberg&Evanson1993
OH1/2-1/2,3/2--1/2+2-1,163.397176,126.29,Varberg&Evanson1993
OH1/2-1/2,3/2--1/2+1-0,163.396902,126.29,Varberg&Evanson1993
CO,15-14,173.6314272,403.46,Varberg&Evanson1992
o-H2O,3_03-2_12,174.6264,79.50,HITRAN
o-H2O,2_12-1_01,179.5265,23.79,HITRAN
o-H2O,2_21-2_12,180.4880,79.50,HITRAN
o-H218O,2_12-1_01,181.051,23.76,HITRAN
CO,14-13,185.9992957,349.70,Varberg&Evanson1992
p-H2O,4_13-4_04,187.1104,222.05,HITRAN
